"ID","Sex","BirthYear","Status","DeathYear","Year","PopSize","Age","Weight","Survival","UniqueExtractionID","SampleYear","qPCRPlate","qPCRRow","LowPurity","RTL","DateCollect","DateProc","Condition","Strongyles","Strongyloides","Coccidea","Nematodirus","Trichuris","Capillaria","Monezia","Person"
7444,"M",2010,"Dead",2011,2010,672,0,12.1,0,4154,2010,88,"A","0",2.01848662069329,"10-Aug-10","28-Aug-10",1,700,NA,2500,0,0,0,2,"JGP"
7447,"F",2010,"Dead",2011,2010,672,0,9.8,0,2621,2010,55,"D","0",2.11417538470287,"12-Aug-10","01-Sep-10",1,600,NA,3200,500,0,0,1,"JGP"
7452,"F",2010,"Dead",2011,2010,672,0,10.4,0,2670,2010,56,"E","0",2.08147951362288,"10-Aug-10","31-Aug-10",3,600,NA,4400,0,0,0,2,"JGP"
7453,"F",2010,"Dead",2011,2010,672,0,11.3,0,4167,2010,88,"F","0",1.70480189281417,"22-Aug-10","02-Sep-10",2,600,NA,6400,0,0,0,2,"JGP"
7454,"F",2010,"Alive",NA,2010,672,0,12.6,1,2210,2010,46,"D","0",2.17623019677052,"22-Aug-10","02-Sep-10",1.5,800,NA,2900,0,0,0,2,"JGP"
7454,"F",2010,"Alive",NA,2011,649,1,15.9,1,3397,2011,70,"E","0",2.01782110883726,"11-Aug-11","27-Aug-11",2,200,NA,600,0,0,0,2,"JGP"
7454,"F",2010,"Alive",NA,2012,362,2,21.1,1,336,2012,8,"C","0",1.69630963327582,"14-Aug-12","29-Aug-12",1.5,100,NA,400,0,0,0,1,"JGP"
7454,"F",2010,"Alive",NA,2013,545,3,24.4,1,1284,2013,27,"F","0",1.82259610045493,"12-Aug-13","26-Aug-13",1.5,0,NA,200,0,0,0,2,"JGP"
7454,"F",2010,"Alive",NA,2014,482,4,23.8,1,2397,2014,50,"A","0",1.89072831772158,"09-Aug-14","27-Aug-14",2,0,NA,200,0,0,0,2,"JGP"
7454,"F",2010,"Alive",NA,2015,513,5,26.35,1,3339,2015,69,"C","0",1.99842552534057,"07-Aug-15","22-Aug-15",1.5,0,NA,200,0,0,0,2,"JGP"
7454,"F",2010,"Alive",NA,2016,444,6,28.7,1,2245,2016,47,"H","0",1.9361372691207,"14-Aug-16","30-Aug-16",2,0,0,700,0,0,0,2,"JGP"
7455,"F",2010,"Dead",2016,2010,672,0,12,1,2484,2010,52,"A","0",1.61676665201825,"24-Aug-10","02-Sep-10",2,700,NA,4800,0,0,0,2,"JGP"
7455,"F",2010,"Dead",2016,2011,649,1,15.2,1,3264,2011,68,"G","0",2.16363959867502,"15-Aug-11","01-Sep-11",2,100,NA,500,0,0,0,2,"JGP"
7455,"F",2010,"Dead",2016,2012,362,2,19.8,1,878,2012,19,"G","0",1.86887311313001,"22-Aug-12","06-Sep-12",2,200,NA,400,0,0,0,2,"JGP"
7457,"M",2010,"Dead",2011,2010,672,0,10.9,0,4156,2010,88,"C","0",2.10661791514065,"10-Aug-10","31-Aug-10",3,2900,NA,15000,200,0,0,2,"JGP"
7458,"F",2010,"Alive",NA,2014,482,4,22.15,1,2907,2014,82,"A","0",1.97888042238728,"19-Aug-14","30-Aug-14",2,200,NA,0,0,0,0,2,"JGP"
7459,"F",2010,"Dead",2017,2011,649,1,13.5,1,3490,2011,72,"C","0",1.91219500003002,"13-Aug-11","30-Aug-11",2,300,NA,300,0,0,0,1,"JGP"
7459,"F",2010,"Dead",2017,2013,545,3,22.15,1,1087,2013,23,"G","0",1.66804320071549,"15-Aug-13","01-Sep-13",1.5,0,NA,500,0,0,0,2,"JGP"
7463,"M",2010,"Dead",2011,2010,672,0,9.2,0,2022,2010,42,"F","0",1.63917611817644,"24-Aug-10","02-Sep-10",1.5,2400,NA,5900,0,0,0,2,"JGP"
7467,"M",2010,"Dead",2011,2010,672,0,9.7,0,2430,2010,51,"C","0",2.28516314464717,"10-Aug-10","31-Aug-10",1.5,1500,NA,12000,0,100,0,1,"JGP"
7469,"F",2010,"Dead",2012,2011,649,1,13.4,0,3506,2011,73,"D","0",1.75251230234755,"15-Aug-11","01-Sep-11",2,200,NA,300,0,0,0,2,"JGP"
7471,"F",2010,"Dead",2011,2010,672,0,12.6,0,2496,2010,52,"E","0",2.14418075762641,"22-Aug-10","02-Sep-10",1.5,200,NA,12000,0,0,0,2,"JGP"
7472,"F",2010,"Dead",2018,2010,672,0,11.8,1,2500,2010,52,"A","0",2.30055049081626,"10-Aug-10","31-Aug-10",1,700,NA,2800,100,0,0,2,"JGP"
7472,"F",2010,"Dead",2018,2011,649,1,16.6,1,3473,2011,72,"B","0",2.26989521387496,"11-Aug-11","27-Aug-11",2,500,NA,2200,0,0,0,2,"JGP"
7472,"F",2010,"Dead",2018,2012,362,2,21.4,1,778,2012,17,"B","0",1.93192702561401,"14-Aug-12","29-Aug-12",1,200,NA,1500,0,0,0,2,"JGP"
7472,"F",2010,"Dead",2018,2013,545,3,21.25,1,1912,2013,40,"H","0",1.60978826267188,"15-Aug-13","03-Sep-13",1,200,NA,900,0,0,0,2,"JGP"
7472,"F",2010,"Dead",2018,2015,513,5,22,1,3623,2015,75,"B","0",1.94872583647098,"07-Aug-15","22-Aug-15",2,200,NA,8800,0,0,0,2,"JGP"
7472,"F",2010,"Dead",2018,2016,444,6,22.25,1,2734,2016,57,"F","0",2.07616841870143,"14-Aug-16","30-Aug-16",2,400,0,2600,0,0,0,2,"JGP"
7473,"M",2010,"Dead",2011,2010,672,0,15.4,0,2527,2010,53,"E","0",1.94594208034265,"19-Aug-10","02-Sep-10",1,200,NA,1200,0,0,0,2,"JGP"
7476,"F",2010,"Dead",2018,2010,672,0,14.5,1,2233,2010,47,"D","0",2.17667070071188,"10-Aug-10","29-Aug-10",1,600,NA,4800,0,0,0,2,"JGP"
7476,"F",2010,"Dead",2018,2011,649,1,19,1,3227,2011,67,"B","0",1.72786281304392,"13-Aug-11","30-Aug-11",1.5,50,NA,800,0,0,0,2,"JGP"
7476,"F",2010,"Dead",2018,2012,362,2,21.4,1,901,2012,19,"F","0",1.07359953546909,"14-Aug-12","29-Aug-12",2,500,NA,600,0,0,0,2,"JGP"
7476,"F",2010,"Dead",2018,2013,545,3,22.95,1,1932,2013,81,"H","0",1.19113973687001,"15-Aug-13","03-Sep-13",1.5,100,NA,200,0,0,0,2,"JGP"
7476,"F",2010,"Dead",2018,2014,482,4,22.35,1,2334,2014,49,"B","0",1.6687507347773,"09-Aug-14","27-Aug-14",2,100,NA,700,0,0,0,2,"JGP"
7476,"F",2010,"Dead",2018,2015,513,5,23.6,1,3812,2015,79,"A","0",1.22889785808874,"07-Aug-15","22-Aug-15",1.5,100,NA,700,0,0,0,2,"JGP"
7482,"M",2010,"Unknown",NA,2012,362,2,31.1,0,312,2012,7,"C","0",1.76417193088681,"16-Aug-12","29-Aug-12",1.5,0,NA,400,0,0,0,2,"JGP"
7483,"F",2010,"Dead",2011,2010,672,0,11.7,0,2743,2010,57,"G","0",1.59628703110855,"17-Aug-10","02-Sep-10",1,1400,NA,8400,0,0,0,2,"JGP"
7485,"F",2010,"Unknown",NA,2010,672,0,13.5,1,2021,2010,42,"E","0",1.98222315865569,"12-Aug-10","01-Sep-10",1,100,NA,6000,0,0,0,2,"JGP"
7485,"F",2010,"Unknown",NA,2011,649,1,18.6,1,3208,2011,66,"F","0",1.70275922957226,"13-Aug-11","30-Aug-11",3,0,NA,600,0,0,0,2,"JGP"
7485,"F",2010,"Unknown",NA,2013,545,3,23.7,1,1865,2013,39,"A","0",2.16066456481909,"22-Aug-13","02-Sep-13",2,0,NA,900,0,0,0,2,"JGP"
7485,"F",2010,"Unknown",NA,2014,482,4,23.85,0,2915,2014,82,"A","0",1.74412781966304,"19-Aug-14","30-Aug-14",2,200,NA,200,0,0,0,2,"JGP"
7486,"F",2010,"Alive",NA,2013,545,3,21.75,1,1203,2013,25,"D","0",1.93084401238452,"15-Aug-13","03-Sep-13",2,100,NA,400,0,0,0,2,"JGP"
